State,ResidenceType_Urban,Household_members,HealthInsurance,Single_Parent,Religion,family_id
Jammu & Kashmir,0,4,0,0,2,551
Jammu & Kashmir,0,5,0,0,2,552
Jammu & Kashmir,0,4,0,0,2,553
Jammu & Kashmir,0,6,0,0,1,554
Jammu & Kashmir,0,5,0,0,2,555
Jammu & Kashmir,0,6,0,0,1,556
Jammu & Kashmir,0,6,0,0,1,557
Jammu & Kashmir,0,7,0,0,2,558
Jammu & Kashmir,0,7,1,0,2,559
Jammu & Kashmir,0,7,0,0,2,560
Jammu & Kashmir,0,5,0,0,2,561
Jammu & Kashmir,0,4,0,0,2,562
Jammu & Kashmir,0,4,0,0,3,563
Jammu & Kashmir,0,4,0,0,1,564
Jammu & Kashmir,0,4,0,0,2,565
Jammu & Kashmir,0,4,0,0,2,566
Jammu & Kashmir,0,4,0,0,2,567
Jammu & Kashmir,0,5,0,0,2,568
Jammu & Kashmir,0,6,0,0,2,569
Jammu & Kashmir,0,4,0,0,2,570
Jammu & Kashmir,0,5,0,0,2,571
Jammu & Kashmir,0,4,0,0,2,572
Jammu & Kashmir,0,5,0,0,2,573
Jammu & Kashmir,0,6,0,0,2,574
Jammu & Kashmir,0,4,0,0,2,575
Jammu & Kashmir,0,5,0,0,2,576
Jammu & Kashmir,0,4,0,0,2,577
Jammu & Kashmir,0,6,0,0,2,578
Jammu & Kashmir,0,5,0,0,2,579
Jammu & Kashmir,0,4,0,0,2,580
Jammu & Kashmir,0,7,0,0,2,581
Jammu & Kashmir,0,5,0,0,2,582
Jammu & Kashmir,0,4,0,0,2,583
Jammu & Kashmir,0,4,0,0,2,584
Jammu & Kashmir,0,7,0,0,2,585
Jammu & Kashmir,0,5,0,0,2,586
Jammu & Kashmir,0,5,0,0,2,587
Jammu & Kashmir,0,5,0,0,2,588
Jammu & Kashmir,0,3,0,0,2,589
Jammu & Kashmir,0,4,0,0,2,590
Jammu & Kashmir,0,3,0,0,2,591
Jammu & Kashmir,0,4,0,0,2,592
Jammu & Kashmir,0,4,0,0,2,593
Jammu & Kashmir,0,3,0,0,2,594
Jammu & Kashmir,0,5,0,0,2,595
Jammu & Kashmir,0,6,0,0,2,596
Jammu & Kashmir,0,5,0,0,2,597
Jammu & Kashmir,0,4,0,0,2,598
Jammu & Kashmir,0,7,0,0,2,599
